MES;CLIENTE;LINEA_RENOVADO;PLAZO_RENOVADO;FLAG_VENTA;USO_LINEA_TOTAL_TC_T2;USO_TRIM_LINEA_BBVA;NR_ENTIDADES_TOTAL_T2;DIFF_NRO_ENTIDA_TOTALES_T2_T12;SDO_CONSUMO_T2;RESENCIA_OFERTA_PLD_RENOVADO;Ahorro_Sldo_Bco_T1;PConsumo_Sldo_Bco_T1;SDO_BCO_tot_sm_pasivo_Bco_6M;EDAD;SEXO;EST_CIVIL;ANTIGUEDAD_MES;REGION;FLAG_LIMA_PROVINCIA;SUELDO_ESTIMADO;CUBRIR_DEUDA_CONSUMO_SF_RENOVA_PLD
201505;160;19500;36;0;0;0;1;0;11454.27;6;9632;23630;18591.16667;41;M;S;48;LIMA NORTE;1;2127.48;0.587398
201505;161;14560;36;0;0;0;2;-1;12640.83;;36;18066;36;36;M;S;33;CENTRO;0;2659.18;0.868188
201505;162;13000;36;0;0.459621;0.307043;2;0;71078.12;18;3290;464;826.833333;59;M;C;168;LIMA NORTE;1;16313;5.46755
201505;163;19500;36;0;0;0;1;0;6354.23;;5200;12974;4202.166666;33;M;S;96;CENTRO;0;8043;0.325857
201505;164;8625;24;0;;;0;0;;;574;6588;1926.166666;66;M;C;127;NORTE;0;2270;0
201505;165;16911;36;0;0.022324;0;4;-1;3820.84;20;58386;5660;56302.66667;44;F;S;199;SUR;0;454;0.225938
201505;166;73475;39;0;0.567589;0.96675;3;-1;49315.56;12;14200;68066;61912.5;39;M;C;234;CALLAO;0;11140;0.671188
201505;167;10344;12;0;0.359062;0.066076;2;-1;31729.09;16;14708;18460;12145.83333;33;M;S;73;LIMA MODERNA;1;16180;3.06739
201505;168;91000;36;0;0.027998;0.000128;3;1;58345.12;6;261450;106214;273240.8333;33;M;C;49;SUR;0;3244.25;0.641155
201505;169;15600;24;1;0.091375;0.02626;3;-2;8257.14;11;994;14596;13435.33333;33;M;S;69;LIMA MODERNA;1;3113;0.529303
201505;170;39000;24;0;0.074111;0.040555;3;0;14924.6;7;126586;18248;109170.8333;34;F;S;106;LIMA MODERNA;1;1200;0.382682
201505;171;4095;36;0;0.574141;0.464567;2;1;13179.78;6;2988;0;18083;33;F;S;74;LIMA MODERNA;1;3803;3.2185
201505;172;13000;48;0;;;2;0;0;6;1496;1958;41259.33333;35;M;S;87;NORTE;0;6577;0
201505;173;39000;36;0;0.025333;0.040383;1;0;18725.92;21;480;38338;2287.666666;33;M;S;83;LIMA NORTE;1;8494;0.480151
201505;174;8645;36;0;0.258055;0;2;-1;8506.47;19;12292;7790;19077;32;M;S;74;CENTRO;0;2616.96;0.983975
201505;175;24700;36;0;0.164999;0.108333;3;0;18930;6;3722;29872;4440.5;33;M;C;35;LIMA MODERNA;1;7861;0.766396
